,Unnamed: 0,YEAR,STATEFIP,Inc_F,Inc_M,Agelt30,Child,Child5,White,Black,AmIndian_AlaskaNative,Chinese,Japanese,SEX,Prop_F,College,Mar,Constr,GWG,party_simplified,state,Year_imp,Pay_Transp,Empt,GDP_pc,GWG_calc,log_GDP,DEMOCRAT
55,55,2011,6,17921.679979626268,28453.166994556395,23.90347945118263,46.09238213478496,12.59860567281062,65.72883837901506,4.4210995447744565,0.765924935536243,4.240919364594276,0.9340082131601566,157065,46.673670136567665,60.84423646261102,55.42737083373126,6.555884506414542,62.98659120461004,DEMOCRAT,CALIFORNIA,1984.0,1,53.10302861510524,53756.7,37.01340879538995,10.89222358938439,1
56,56,2011,8,16513.389886754885,26933.438835193097,24.358070270046046,40.07964491641432,11.97577467125731,88.3934127017049,2.5345335379765213,0.9872651097191687,0.551706973078359,0.2074086364956237,24107,47.716430912183185,65.85224208736052,58.53901356452483,6.6619654042394325,61.311850996083514,DEMOCRAT,COLORADO,2008.0,1,62.556434135769926,52231.17,38.68814900391648,10.863434722098459,1
57,57,2011,9,21267.79204999132,35600.16721633975,20.771856737834867,44.17635827113348,10.490076954232483,84.02476421917491,6.98952728114332,0.24301336573511542,0.9836255279754672,0.10414858531504947,17283,49.268066886535905,65.02343343169589,58.82080657293294,4.744546664352254,59.74070829709428,DEMOCRAT,CONNECTICUT,2015.0,0,61.47938824599457,64982.5,40.25929170290572,11.081873281859433,1
58,58,2011,10,18825.427939006397,25799.73930152484,22.60206591244466,43.58091490408264,10.550909985243482,78.18494835218888,15.15002459419577,0.39350713231677326,0.6148548942449582,0.0,4066,50.39350713231677,57.722577471716676,56.19773733398918,5.779636005902607,72.96751226433422,DEMOCRAT,DELAWARE,2016.0,0,58.44048524113311,67641.48,27.03248773566577,11.121976683317198,1
60,60,2011,12,16095.241187034548,24435.519283660065,21.142326095419897,41.405553392693434,10.417320758034336,79.94273299257789,13.229181056676756,0.3101962902030718,0.4659223630175694,0.06153691587024502,79627,49.3199542868625,57.627437929345575,54.98260640235096,5.47427380159996,65.86821831037317,DEMOCRAT,FLORIDA,,0,52.67024031299554,39555.13,34.13178168962682,10.58545067401311,1
61,61,2011,13,15604.65688654893,23932.15912285634,22.991795946533085,43.499373833925425,12.306080200373144,68.103866894983,25.294553633041122,0.2555779896235336,0.5162675390395379,0.08945229636823676,39127,48.78217087944386,56.29105221458328,57.85263373118307,5.842512842793979,65.20371524542367,REPUBLICAN,GEORGIA,,0,54.32289876300921,44039.23,34.79628475457634,10.692836106578408,0
62,62,2011,15,15452.192666065524,24060.00300571085,24.66185752930568,43.80823564773069,11.872557859933874,25.72888488127442,1.6831980763450556,0.34565674782085964,4.974451457769763,15.1487826871055,6654,47.129546137661556,61.85752930568079,57.21370604147881,6.101593026750827,64.22356914252177,DEMOCRAT,HAWAII,,0,60.5273267892273,50087.95,35.776430857478225,10.821535739181556,1
63,63,2011,16,11484.81447963801,20761.957767722477,23.24283559577677,45.03770739064857,14.660633484162895,93.92156862745098,0.3770739064856712,1.5233785822021115,0.2865761689291101,0.19607843137254902,6630,46.63650075414781,55.98793363499246,65.46003016591251,9.698340874811462,55.31662576393853,REPUBLICAN,IDAHO,,0,55.45392457860771,35951.57,44.68337423606147,10.48992803396195,0
64,64,2011,17,16993.034969185916,26760.34096265647,23.5286928891915,43.59538399762566,11.873461478028597,82.32336458387891,8.645402328951274,0.16934653188777737,0.8938703538818764,0.13792140225911764,57279,48.93067267235811,59.68679620803436,57.52020810419177,5.4749559175264935,63.50081634946042,DEMOCRAT,ILLINOIS,2003.0,1,57.32222870093473,53848.23,36.49918365053958,10.893924812963554,1
65,65,2011,18,13794.139378382128,22228.43624254197,23.341889829332594,43.936450672956845,12.421950881087831,90.24559456084363,5.71319550437075,0.2150686832246427,0.2775079783543777,0.052032745941445815,28828,48.078257249895934,50.78396003885112,59.19938948244762,5.675038157347024,62.05627434997953,DEMOCRAT,INDIANA,,0,55.08759062488013,44713.64,37.94372565002047,10.708033879468138,1
66,66,2011,19,13538.743768039883,20141.236814484382,23.43872999212805,40.61926003673577,12.818157963789032,95.61138808711624,1.1742324849120966,0.3148779847808974,0.24271844660194175,0.03279979008134348,15244,48.425610076095516,53.54237732878509,62.8247179218053,7.130674363684072,67.21902876542131,DEMOCRAT,IOWA,,0,64.43126518697837,48426.28,32.780971234578686,10.787797920553636,1
67,67,2011,20,13362.604768251147,22475.98030504961,23.11565230268029,41.66296460832223,12.846142455205094,90.87072412261217,3.198578409595735,0.8292610691544499,0.2517399674218866,0.059232933511032135,13506,47.82318969346957,57.189397304901526,62.95720420553828,7.130164371390493,59.452822910905525,REPUBLICAN,KANSAS,,0,63.38845800415866,47527.79,40.547177089094475,10.769069871577743,0
68,68,2011,21,13892.053909556696,22297.072844731567,23.763644464245935,44.48095344174649,12.034974381822233,91.37892626420138,5.8142125194920915,0.16707507239919803,0.21162842503898419,0.16150590331922476,17956,48.11762085096903,53.07975050122522,61.09935397638672,6.348852751169526,62.30438410591263,REPUBLICAN,KENTUCKY,,0,54.18213574258542,39269.34,37.69561589408736,10.578199340708132,0
69,69,2011,22,14324.8219852338,23873.35684987695,23.861088323762647,43.2212195788898,12.23407164342357,69.81678971834837,25.605687722176647,0.6343997812414548,0.26797921793820073,0.04922067268252666,18285,49.165983046212745,50.50041017227235,54.372436423297785,7.957342083675144,60.00338400381945,REPUBLICAN,LOUISIANA,2013.0,0,56.049109269523214,50259.18,39.99661599618055,10.824948495803328,0
